,ᄒ,( ?)ᄀ,ᄁ,ᄂ,( ?)ᄃ,ᄄ,ᄅ,ᄆ,ᄇ,ᄈ,ᄉ,ᄊ,ᄌ,ᄍ,ᄎ,ᄏ,ᄐ,ᄑ,(\W|$)
ᆶ,ᆯᄒ(10),ᆯ\1ᄏ(12),ᆯᄁ,ᆯᄅ(12/20),ᆯ\1ᄐ(12),ᆯᄄ,ᆯᄅ,ᆯᄆ,ᆯᄇ,ᆯᄈ,ᆯᄊ(12),ᆯᄊ,ᆯᄎ(12),ᆯᄍ,ᆯᄎ,ᆯᄏ,ᆯᄐ,ᆯᄑ,ᆯ\1
ᆷ,,,,,,,ᆷᄂ(19),,,,,,,,,,,,
ᆸ,ᄑ(12),ᆸ\1ᄁ(23),,ᆷᄂ(18),ᆸ\1ᄄ(23),,ᆷᄂ(19/18),ᆷᄆ(18),ᆸᄈ(23),,ᆸᄊ(23),,ᆸᄍ(23),,,,,,
ᆹ,ᆸᄑ(10),ᆸ\1ᄁ(10/23),ᆸᄁ(10),ᆷᄂ(10/18),ᆸ\1ᄄ(10/23),ᆸᄄ(10),ᆷᄂ(10/19/18),ᆷᄆ(10/18),ᆸᄈ(10/23),ᆸᄈ(10),ᆸᄊ(10/23),ᆸᄊ(10),ᆸᄍ(10/23),ᆸᄍ(10),ᆸᄎ(1ᄐ(10),ᆸᄑ,,,ᆸ\1(10)
ᆺ,ᄐ,ᆮ\1ᄁ(9/23),ᆮᄁ(9),ᆫᄂ(9/18),ᆮ\1ᄄ(9/23),ᆮᄄ(9),ᆫᄂ(9/18),ᆫᄆ(9/18),ᆮᄈ(9/23),ᆮᄈ(9),ᆮᄊ(9/23),ᆮᄊ(9),ᆮᄍ(9/23),ᆮᄍ(9),ᆮᄎ(9),ᆮᄏ(9),ᆮᄐ(9),ᆮᄑ(9),ᆮ\1(9)
ᆻ,ᄐ,ᆮ\1ᄁ(9/23),ᆮᄁ(9),ᆫᄂ(9/18),ᆮ\1ᄄ(9/23),ᆮᄄ(9),ᆫᄂ(9/18),ᆫᄆ(9/18),ᆮᄈ(9/23),ᆮᄈ(9),ᆮᄊ(9/23),ᆮᄊ(9),ᆮᄍ(9/23),ᆮᄍ(9),ᆮᄎ(9),ᆮᄏ(9),ᆮᄐ(9),ᆮᄑ(9),ᆮ\1(9)
ᆼ,,,,,,,,,,,,,,,,,,,,
ᆽ,ᄎ(12),ᆮ\1ᄁ(9/23),ᆮᄁ(9),ᆫᄂ(18),ᆮ\1ᄄ(9/23),ᆮᄄ(9),ᆫᄂ(9/18),ᆫᄆ(18),ᆮᄈ(9/23),ᆮᄈ(9),ᆮᄊ(9/23),ᆮᄊ(9),ᆮᄍ(9/23),ᆮᄍ(9),ᆮᄎ(9),ᆮᄏ(9),ᆮᄐ(9),ᆮᄑ(9),ᆮ\1(9)
ᆾ,ᄐ,ᆮ\1ᄁ(9/23),ᆮᄁ(9),ᆫᄂ(18),ᆮ\1ᄄ(9/23),ᆮᄄ(9),ᆫᄂ(9/18),ᆫᄆ(18),ᆮᄈ(9/23),ᆮᄈ(9),ᆮᄊ(9/23),ᆮᄊ(9),ᆮᄍ(9/23),ᆮᄍ(9),ᆮᄎ(9),ᆮᄏ(9),ᆮᄐ(9),ᆮᄑ(9),ᆮ\1(9)
ᆿ,ᄏ,ᆨ\1ᄁ(9/23),ᆨᄁ(9),ᆼᄂ(18),ᆨ\1ᄄ(9/23),ᆨᄄ(9),ᆼᄂ(9/18),ᆼᄆ(9/18),ᆨᄈ(9/23),ᆨᄈ(9),ᆨᄊ(9/23),ᆨᄊ(9),ᆨᄍ(9/23),ᆨᄍ(9),ᆨᄎ(9),ᆨᄏ(9),ᆨᄐ(9),ᆨᄑ(9),ᆨ\1(9)
ᇀ,ᄐ,ᆮ\1ᄁ(9/23),ᆮᄁ(9),ᆫᄂ(18),ᆮ\1ᄄ(9/23),ᆮᄄ(9),ᆫᄂ(9/18),ᆫᄆ(18),ᆮᄈ(9/23),ᆮᄈ(9),ᆮᄊ(9/23),ᆮᄊ(9),ᆮᄍ(9/23),ᆮᄍ(9),ᆮᄎ(9),ᆮᄏ(9),ᆮᄐ(9),ᆮᄑ(9),ᆮ\1(9)
ᇁ,ᄑ,ᆸ\1ᄁ(9/23),ᆸᄁ(9),ᆷᄂ(18),ᆸ\1ᄄ(9/23),ᆸᄄ(9),ᆫᄂ(9/18),ᆷᄆ(18),ᆸᄈ(9/23),ᆸᄈ(9),ᆸᄊ(9/23),ᆸᄊ(9),ᆸᄍ(9/23),ᆸᄍ(9),ᆸᄎ(9),ᆸᄏ(9),ᆸᄐ(9),ᆸᄑ(9),ᆸ\1(9)
